"7d. U.S. Regional Electricity Generation, Electric Power Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/outlooks/steo/data/browser/#/?v=22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Oct 06 2023 21:29:10 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remove,,map,linechart,units,source key,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Coal,Electric power sector generation by coal: Florida (FRCC),1,1,billion kilowatthours,CLEPGEN_FL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52.85,46.51,40.81,42.5,47.4,39.85,36.62,34.4,27.05,18.63,15.85,18.34,15.5,10.86,7.5
Nuclear,Electric power sector generation by nuclear: Florida (FRCC),1,1,billion kilowatthours,NUEPGEN_FL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23.94,22.02,17.87,26.53,27.87,28.12,29.32,29.15,29.31,29.11,29.42,29.51,30.77,30.21,30
Conventional hydropower,Electric power sector generation by conventional hydropower: Florida (FRCC),1,1,billion kilowatthours,HVEPGEN_FL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.18,0.18,0.15,0.25,0.21,0.24,0.17,0.22,0.23,0.21,0.23,0.25,0.23,0.2,0.19
Nonhydro renewables ,Electric power sector generation by non-hydropower renewables,1,1,billion kilowatthours,RNEPGEN_FL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.43,2.48,2.43,2.41,3,2.9,2.71,3.72,5.2,6.13,8.28,10.82,12.85,14.66,19.43
Other energy sources ,Electric power sector generation by other energy sources: Florida (FRCC),1,1,billion kilowatthours,XXEPGEN_FL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.3,4.69,2.76,3.91,3.11,3.48,4.23,2.88,3.55,3.14,3.26,2.58,2.64,2.54,2.52
Total generation,Total electric power sector net generation: Florida (FRCC),1,1,billion kilowatthours,TOEPGEN_FL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,213.86,206.54,207.19,209.11,216.17,224.66,225.02,224.75,230.18,232.12,237.84,235.24,246.99,249.66,242.21
Net energy for load ,Net energy for load: Florida (FRCC),1,1,billion kilowatthours,ELLOAD_FL,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,230.4,219.16,216.69,217.35,220.53,231.22,229.13,227.96,233.01,235.41,239.95,237.02,247.53,252.05,244.17
Midcontinent ISO (MISO),Midcontinent ISO (MISO),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas,Electric power sector generation by natural gas: Midcontinent ISO (MISO),1,1,billion kilowatthours,NGEPGEN_MW,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,89.77,94.09,126.09,95.93,91.54,130.39,148.63,129.86,148.6,165.63,172.53,158.94,184.11,213.38,215.78
Coal,Electric power sector generation by coal: Midcontinent ISO (MISO),1,1,billion kilowatthours,CLEPGEN_MW,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,424.67,409.7,365.48,387.86,386.3,337.25,302.6,310.67,322.06,260.89,205.31,253.61,225.82,174.38,175.41
Nuclear,Electric power sector generation by nuclear: Midcontinent ISO (MISO),1,1,billion kilowatthours,NUEPGEN_MW,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,106.1,103.45,99.43,96.67,100.31,100.9,99.72,95.67,98.29,102.26,95.11,95.69,91.35,88.51,93.54
Conventional hydropower,Electric power sector generation by conventional hydropower: Midcontinent ISO (MISO),1,1,billion kilowatthours,HVEPGEN_MW,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.48,7.49,6.07,7.53,8.09,8.77,10.39,10.1,9.16,10.86,11.1,10.03,10.27,8.63,9.88
Nonhydro renewables ,Electric power sector generation by non-hydropower renewables,1,1,billion kilowatthours,RNEPGEN_MW,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.14,31.02,37.36,42.02,45.74,49,52.69,58.67,57.12,63.13,77.39,89.01,109.38,112.5,125.83
Other energy sources ,Electric power sector generation by other energy sources: Midcontinent ISO (MISO),1,1,billion kilowatthours,XXEPGEN_MW,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.69,8.36,6.04,9.41,9.42,8.57,8.77,7.6,7.12,5.97,5.2,6.76,6.11,4.71,5.66
Total generation,Total electric power sector net generation: Midcontinent ISO (MISO),1,1,billion kilowatthours,TOEPGEN_MW,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,660.86,654.11,640.48,639.42,641.41,634.88,622.8,612.56,642.35,608.75,566.64,614.04,627.03,602.11,626.11
Net energy for load ,Net energy for load: Midcontinent ISO (MISO),1,1,billion kilowatthours,ELLOAD_MW,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,653.45,666.67,663.5,666.97,677.47,667.76,666.67,657.11,683.66,667.86,639.83,660.14,671.77,663.84,673.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest Power Pool (SPP),Southwest Power Pool (SPP),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas,Electric power sector generation by natural gas: Southwest Power Pool (SPP),1,1,billion kilowatthours,NGEPGEN_SP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57.31,59.26,67.09,54.26,48.83,57.74,66.64,51.8,73.35,81.9,80.32,61.35,68.98,79.31,74.05
Coal,Electric power sector generation by coal: Southwest Power Pool (SPP),1,1,billion kilowatthours,CLEPGEN_SP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,166.01,171.85,161.01,171.21,162.48,143.14,129.15,132.14,120.05,98.93,83.86,98.74,106.29,84,79.86
Nuclear,Electric power sector generation by nuclear: Southwest Power Pool (SPP),1,1,billion kilowatthours,NUEPGEN_SP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.61,14.25,14.09,14.03,18.66,18.95,17.6,17.56,14.8,16.2,16.77,15.46,14.6,17.2,15.08
Conventional hydropower,Electric power sector generation by conventional hydropower: Southwest Power Pool (SPP),1,1,billion kilowatthours,HVEPGEN_SP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.82,15.3,12.78,11.45,12.74,14.79,13.31,14.21,15.55,20.59,16.88,14.59,14.57,12.21,14.37
Nonhydro renewables ,Electric power sector generation by non-hydropower renewables,1,1,billion kilowatthours,RNEPGEN_SP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.7,16.81,21.82,30.45,34.21,39.13,52,61.81,71.49,78.54,86.46,98.57,110.21,111.24,114.45
Other energy sources ,Electric power sector generation by other energy sources: Southwest Power Pool (SPP),1,1,billion kilowatthours,XXEPGEN_SP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.49,1.29,1.14,1.45,1.15,1.57,1.34,0.86,1.22,1.4,1,1.41,1.33,0.87,0.9
Total generation,Total electric power sector net generation: Southwest Power Pool (SPP),1,1,billion kilowatthours,TOEPGEN_SP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,272.94,278.77,277.93,282.84,278.07,275.33,280.04,278.39,296.45,297.56,285.29,290.12,315.98,304.83,298.72
Net energy for load ,Net energy for load: Southwest Power Pool (SPP),1,1,billion kilowatthours,ELLOAD_SP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,254.72,257.86,254.58,246.96,245.68,257.91,259.3,257.4,272.05,270.49,262.07,268.72,282.81,277.68,273.6
Texas (ERCOT),Texas (ERCOT),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas,Electric power sector generation by natural gas: Texas (ERCOT),1,1,billion kilowatthours,NGEPGEN_TX,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,124.1,134.09,144.31,135.75,138.62,168.51,155.42,141.66,166.77,181.74,174.09,164.11,181.88,200.51,174.71
